Weight,Last,First,Conference,Allocated,ConfSeed,ConfFinish,Finish,ELO,Percent,Bonus,ELORank,Seed,Intermat,Coaches,RPI,Year,University,Record,Line
125,Atkins,Thayer,ACC,N,5,4,NQ,1297.06,48.28,21.43,NR,NQ,NR,NR,29,,,,
125,Bentley, LJ,ACC,N,4,3,NQ,1343.66,53.85,14.29,23,NQ,NR,NR,NR,,,,
125,Fausz,Sean,ACC,Y,2,1,cons 24,1380.84,78.95,66.67,13,5,5,5,NR,Jr.,NCST,15-4,9
125,Hayes,Louie,ACC,Y,1,2,cons 12,1404.51,79.49,54.84,10,12,11,12,10,Fr.,UVA,31-8,12
125,Norstrem,Kyle,ACC,N,3,5,cons 24,1348.79,42.86,50,19,NS,NR,31,21,,VT,12-16,14
125,Bianchi,Paul,Big 12,Y,7,cons 08,cons 32,1312.73,61.54,62.50,NR,NS,NR,26,25,,NDSU,24-15,11
125,Briggs,Sinjin,Big 12,N,9,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Brown,Connor,Big 12,Y,5,5,cons 24,1373.79,58.97,34.78,16,NS,NR,21,23,,SDSU,26-16,19
125,Cannon,Sean,Big 12,N,12,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,DeCesare,Tony,Big 12,N,11,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Foster,Drake,Big 12,N,8,cons 12,NQ,,,,NR,NQ,NR,NR,31,,,,
125,LaMont,Taylor,Big 12,Y,2,3,cons 12,1398.16,84.38,51.85,NR,7,6,7,1,Fr.,UVU,27-5,25
125,Moisey,Zeke,Big 12,Y,3,2,8,1378.2,70.27,42.31,14,13,13,15,12,Jr.,WVU,26-12,13
125,Moody,Christian,Big 12,Y,4,6,cons 32,1347.97,59.46,27.27,20,NS,20,17,15,So.,OU,23-15,30
125,Piccininni,Nicholas,Big 12,Y,1,1,cons 12,1416.54,82.76,58.33,7,6,10,6,3,So.,OKST,24-5,24
125,Schwarm,Jacob,Big 12,Y,6,4,cons 32,1338.14,67.57,68,26,16,17,19,14,So.,UNI,25-12,4
125,Williams,Sean,Big 12,N,10,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
125,Cray,Brandon,Big Ten,N,13,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Foley,RayVon,Big Ten,Y,7,7,cons 33,1373.86,71.79,25,15,NS,16,18,16,Fr.,MSU,28-11,2
125,Jimenez,Johnny,Big Ten,N,12,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Kuhn,Carson,Big Ten,N,14,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Lee,Spencer,Big Ten,Y,2,3,1,1539.3,91.67,81.82,1,3,4,3,NR,Fr.,IOWA,22-2,17
125,Lizak,Ethan,Big Ten,Y,5,2,4,1451.39,82.05,65.63,4,8,7,8,7,Jr.,MINN,32-7,8
125,Maginnis,Mitch,Big Ten,N,11,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Mattin,Drew,Big Ten,Y,8,cons 12,cons 16,1415.5,60,38.1,8,NS,19,13,9,Fr.,MICH,21-14,3
125,Oliver,Elijah,Big Ten,Y,10,8,cons 24,1334.17,57.58,57.89,27,NS,NR,27,22,,IND,18-14,6
125,Piotrowski,Travis,Big Ten,Y,9,cons 12,cons 16,1363.7,64.29,38.89,19,NS,18,20,17,So.,ILL,19-10,23
125,Rivera,Sebastian,Big Ten,Y,4,5,6,1418.76,78.95,73.33,6,10,8,9,5,Fr.,NW,31-8,28
125,Suriano,Nick,Big Ten,Y,1,6,2,1486.05,96.15,68.00,NR,4,2,2,2,So.,RUT,25-1,16
125,Tomasello,Nathan,Big Ten,Y,3,1,3,1502.95,88.89,62.5,2,2,3,4,NR,Sr.,OHST,16-2,32
125,Welch,Luke,Big Ten,Y,6,4,cons 12,1373.44,73.17,43.33,17,14,14,16,8,Sr.,PUR,32-11,20
125,Barzona,Geo,EIWA,N,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Baughman, Noah,EIWA,N,6,2,NQ,1345.95,70,42.86,22,NQ,NR,NR,NR,,,,
125,Burns,Ryan,EIWA,N,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Chalifoux,Trey,EIWA,N,2,6,NQ,,,,NR,NQ,NR,NR,30,,,,
125,Cruz,Darian,EIWA,Y,1,1,5,1476.73,93.75,53.33,3,1,1,1,6,Sr.,LEH,30-2,1
125,Curry,Gage,EIWA,N,3,4,cons 32,1309.86,57.89,31.82,NR,NS,NR,NR,28,,AMER,22-16,22
125,DeVincenzo,Matteo,EIWA,N,9,8,NQ,,,,,NQ,NR,NR,NR,,,,
125,Fuentes, Zack,EIWA,N,4,3,NQ,1333.51,70.37,47.37,28,NQ,NR,NR,NR,,,,
125,Garcia,Edgar,EIWA,N,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Good,Spencer,EIWA,N,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Hellickson, Nolan,EIWA,N,7,7,NQ,1324.39,70,38.1,32,NQ,NR,NR,NR,,,,
125,Kelley,Trey,EIWA,N,10,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Kilic,Aslan,EIWA,N,8,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
125,Martin,Jacob,EIWA,N,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Nelson,Joe,EIWA,N,5,5,NQ,,,,NR,NQ,NR,NR,27,,,,
125,Planta,Daniel,EIWA,N,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
125,Bunduka,Ibrahim,EWL,N,5,2,cons 32,1300.39,62.16,34.78,NR,NS,NR,NR,NR,,GMU,23-14,27
125,Girard,Willy,EWL,N,3,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
125,Martin,John,EWL,N,NS,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
125,Park,Gavin,EWL,N,NS,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
125,Russell,Sean,EWL,Y,1,1,cons 16,1405.63,81.58,51.61,9,11,12,11,11,Jr.,EDIN,32-7,21
125,Werner, Luke,EWL,N,4,4,NQ,1327.03,65.79,52,31,NQ,NR,NR,NR,,,,
125,Wert,Gerald,EWL,Y,2,3,cons 32,1327.51,65.38,41.18,30,NS,NR,24,18,,RID,17-9,15
125,Akins,Kyle,MAC,Y,2,5,NQ,1354.87,68.75,36.36,NR,NQ,NR,28,20,,BUFF,,
125,Ferri,Jake,MAC,N,NS,7,NQ,,,,,NQ,NR,NR,NR,,,,
125,Giallambardo,Trevor,MAC,N,NS,8,NQ,,,,,NQ,NR,NR,NR,,,,
125,Gutierrez,Tomas,MAC,N,NS,6,NQ,,,,,NQ,NR,NR,NR,,,,
125,Hildebrandt,Drew,MAC,N,4,3,NQ,1333.27,48.57,11.76,29,NQ,NR,NR,33,,,,
125,Hudkins,Brock,MAC,N,3,2,cons 24,1341.57,61.29,21.05,24,NS,NR,32,26,,NIU,18-12,26
125,McGee,Michael,MAC,Y,1,1,cons 24,1387.47,74.36,58.62,12,NS,NR,22,19,,ODU,29-10,10
125,McGhee,Barlow,MAC,N,NS,4,cons 32,1339.23,53.57,6.67,25,NS,NR,33,NR,,MIZZ,15-13,7
125,Bresser,Ronnie,Pac 12,Y,2,1,7,1421.76,80,54.17,5,9,9,10,4,Sr.,ORST,23-6,5
125,Funakoshi,Yoshito,Pac 12,N,NS,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
125,Mendez,Sergio,Pac 12,Y,4,3,cons 24,1322.52,64.1,32,33,NS,NR,30,24,,CSUB,24-14,33
125,Millhof,Ryan,Pac 12,Y,1,2,cons 16,1389.67,70.83,52.94,11,15,15,14,13,Jr.,ASU,17-7,29
125,Townsell,Gabe,Pac 12,Y,3,4,cons 24,1347.01,54.55,33.33,21,NS,NR,23,NR,,STAN,20-15,31
125,Allen,Alonzo,SoCon,N,3,1,cons 32,1314.60,68.75,50.00,NR,NS,NR,28,NR,,CHAT,22-10,18
125,Conway,Cliff,SoCon,N,4,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
125,Gentzler,Zack,SoCon,N,2,3,NQ,,,,,NQ,NR,NR,NR,,,,
125,Jacobs,Will,SoCon,N,7,4,NQ,,,,,NQ,NR,NR,NR,,,,
125,McClelland,Michael,SoCon,N,6,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
125,Meink,Korbin,SoCon,Y,1,cons 06,NQ,1336.37,68.75,22.73,NR,NQ,NR,25,NR,,CAMP,,
125,Swinson-Barr,De’Andre,SoCon,N,5,2,NQ,,,,,NQ,NR,NR,NR,,,,
133,Finesilver,Josh,ACC,,6,6,cons 32,1311.38,48.72,31.58,NR,NS,NR,32,23,,DUKE,20-20,3
133,Forys,Dom,ACC,,1,3,cons 24,1426.82,77.78,57.14,6,11,8,9,6,Sr.,PITT,22-6,21
133,Gustafson,Dennis,ACC,,2,1,cons 24,1382.78,72.73,20.83,16,9,11,14,9,Sr.,VT,24-9,5
133,Mueller,Jack,ACC,,4,2,cons 12,1442.25,77.42,41.67,5,10,7,8,4,So.,UVA,24-7,28
133,Sherman,Zachary,ACC,,5,5,cons 24,1363.74,44.44,31.25,24,NS,NR,22,18,,UNC,16-19,31
133,Wilson,Tariq,ACC,,3,4,3,1399.49,72.97,51.85,11,NS,15,19,16,Fr.,NCST,27-10,10
133,Bridges,Montorie,Big 12,,2,3,8,1374.8,83.33,51.43,19,8,6,6,8,Fr.,WYO,35-7,8
133,Brock,Kaid,Big 12,,3,2,5,1458.41,85.71,56.67,3,4,4,4,3,So.,OKST,30-5,16
133,Gross,Seth,Big 12,,1,1,1,1499.22,96.67,82.76,1,1,1,1,5,Jr.,SDSU,29-1,1
133,Jimenez,Isaac,Big 12,,8,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
133,Lloren,Durbin,Big 12,,10,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
133,Montoya,Rico,Big 12,,4,6,cons 16,1337.08,64.1,56,33,NS,NR,23,26,,UNCO,25-14,11
133,Rubio,Jacob,Big 12,,7,cons 12,NQ,,,,NR,NQ,NR,NR,27,,,,
133,Schmitt,Matthew,Big 12,,5,4,cons 16,1379.68,62.16,47.83,17,NS,NR,32,24,,WVU,23-14,2
133,Simmons,Markus,Big 12,,11,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Sykora,Cam,Big 12,,6,5,cons 32,1357.53,65.71,78.26,26,NS,NR,28,30,,NDSU,23-12,23
133,Wagner,Jack,Big 12,,9,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Williams,Trevor,Big 12,,12,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Delvecchio,Scott,Big Ten,,5,6,6,1387.19,71.43,28,14,NS,NR,15,12,,RUT,26-10,19
133,Duncan,Dylan,Big Ten,,7,3,cons 32,1349.45,68.97,45,27,NS,NR,25,25,,ILL,20-9,15
133,Glynn,Paul,Big Ten,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
133,Griffin,Logan,Big Ten,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
133,Keener,Corey,Big Ten,,6,7,cons 24,1334.77,62.96,64.71,NR,NS,NR,20,21,,PSU,17-10,22
133,Lantz,Jens,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,McKee,Mitch,Big Ten,,3,4,cons 12,1407.65,72.41,61.9,10,16,16,12,NR,So.,MINN,21-8,4
133,Micic,Stevan,Big Ten,,1,1,2,1475.74,89.66,80.77,2,2,2,2,1,So.,MICH,26-3,32
133,People,Garrett,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Pletcher,Luke,Big Ten,,2,2,4,1418.38,88.24,13.33,8,3,3,3,2,So.,OHST,30-4,17
133,Renteria, Jason,Big Ten,,4,5,NQ,1408.87,66.67,50,9,NQ,NR,NR,NR,,,,
133,Simmons,Jhared,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Thornton,Ben,Big Ten,,8,8,cons 32,1344.25,67.5,25.93,31,NS,NR,21,22,,PUR,27-13,7
133,Valdiviez,Colin,Big Ten,,NS,cons 12,cons 16,1332.76,56.41,31.82,NR,NS,NR,27,32,,NW,20-13,14
133,Campbell,David,EIWA,,NS,8,NQ,,,,,NQ,NR,NR,NR,,,,
133,DeSanto,Austin,EIWA,,1,3,cons 12,1454.45,80,64.29,4,7,5,5,7,Fr.,DREX,30-7,25
133,Friedman,Ryan,EIWA,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
133,Ghione, Gianni,EIWA,,6,cons 16,NQ,1367.72,65.38,58.82,23,NQ,NR,NR,NR,,,,
